target,response,avg_fevdfd
output,output,0.784214775859049
output,investment,0.614204166552737
output,consumption,0.460480464641398
output,hours_worked,0.510068601577548
output,unemployment,0.556598374195808
output,labor_share,0.275078635992633
output,interest,0.273810588798849
output,inflation,0.102529080993372
output,productivity,0.411554130658011
output,TFP,0.081928781204909
output,vfci,0.250449721913565
investment,output,0.712759026977295
investment,investment,0.729912669897918
investment,consumption,0.385593724048903
investment,hours_worked,0.626928019976398
investment,unemployment,0.68531348634409
investment,labor_share,0.188200490332857
investment,interest,0.38305027642731
investment,inflation,0.124155278520368
investment,productivity,0.301763567900151
investment,TFP,0.145220736595397
investment,vfci,0.341519204328662
consumption,output,0.511336221801885
consumption,investment,0.339426753323762
consumption,consumption,0.785884544944563
consumption,hours_worked,0.345666760830574
consumption,unemployment,0.338068525365911
consumption,labor_share,0.117604727524968
consumption,interest,0.0975679699733059
consumption,inflation,0.0705047580313694
consumption,productivity,0.271417797860787
consumption,TFP,0.0808915252959142
consumption,vfci,0.12640893465218
hours_worked,output,0.573876641260027
hours_worked,investment,0.566563389451151
hours_worked,consumption,0.382390547939222
hours_worked,hours_worked,0.767987188687041
hours_worked,unemployment,0.67634745734016
hours_worked,labor_share,0.0929953938745379
hours_worked,interest,0.447258807995338
hours_worked,inflation,0.146444003454135
hours_worked,productivity,0.223260296680059
hours_worked,TFP,0.270117857622307
hours_worked,vfci,0.432764207619988
unemployment,output,0.629918149609008
unemployment,investment,0.642657620440082
unemployment,consumption,0.364913512838638
unemployment,hours_worked,0.675805465772565
unemployment,unemployment,0.775069475929561
unemployment,labor_share,0.115160527826952
unemployment,interest,0.438855457703642
unemployment,inflation,0.139774020327041
unemployment,productivity,0.245035370647364
unemployment,TFP,0.220428136267642
unemployment,vfci,0.409662870219326
labor_share,output,0.129594484229736
labor_share,investment,0.097782969757449
labor_share,consumption,0.0572191566345673
labor_share,hours_worked,0.0867663420058454
labor_share,unemployment,0.0911743526628592
labor_share,labor_share,0.692035712465383
labor_share,interest,0.0694891608640777
labor_share,inflation,0.0176831119376681
labor_share,productivity,0.163037807683394
labor_share,TFP,0.0379243183801695
labor_share,vfci,0.105427955185065
interest,output,0.410607425257962
interest,investment,0.449557933303514
interest,consumption,0.223445668051001
interest,hours_worked,0.477223850351278
interest,unemployment,0.48976545258529
interest,labor_share,0.0812584446059303
interest,interest,0.803285607306458
interest,inflation,0.264023931271197
interest,productivity,0.212439298035511
interest,TFP,0.220416688616491
interest,vfci,0.664965754131762
inflation,output,0.0988645805392394
inflation,investment,0.149244308150019
inflation,consumption,0.0951132327618438
inflation,hours_worked,0.146694457449361
inflation,unemployment,0.15129051973125
inflation,labor_share,0.010123764620678
inflation,interest,0.353258644333084
inflation,inflation,0.667982757832397
inflation,productivity,0.0675434275594951
inflation,TFP,0.0794019279325562
inflation,vfci,0.285367955201459
productivity,output,0.0560619437691977
productivity,investment,0.0550047485693809
productivity,consumption,0.0723972370255678
productivity,hours_worked,0.18970939178805
productivity,unemployment,0.154730037840142
productivity,labor_share,0.13641163307231
productivity,interest,0.209497424810762
productivity,inflation,0.0842159168634372
productivity,productivity,0.533390154934842
productivity,TFP,0.524264373711856
productivity,vfci,0.226966685521279
TFP,output,0.0743698578083352
TFP,investment,0.139416617056
TFP,consumption,0.0627655889255689
TFP,hours_worked,0.316218989527988
TFP,unemployment,0.261747212863652
TFP,labor_share,0.0161925764146659
TFP,interest,0.178919144743071
TFP,inflation,0.0389120624820492
TFP,productivity,0.250172229192898
TFP,TFP,0.786238733055759
TFP,vfci,0.213792458420881
vfci,output,0.347085279163683
vfci,investment,0.368101124203149
vfci,consumption,0.203768699625289
vfci,hours_worked,0.430596539051319
vfci,unemployment,0.416682988828834
vfci,labor_share,0.08642153349289
vfci,interest,0.697668596918475
vfci,inflation,0.233235330836304
vfci,productivity,0.20274215002427
vfci,TFP,0.230695507018
vfci,vfci,0.82845133969249
