h,impulse,response,mean,median,lower,upper,version,model
1,Main,output,-0.649027928175708,-0.648306443423913,-0.701759311418457,-0.59692152501897,replication,bayesian_fd
1,Main,investment,-2.34638045210726,-2.34929779381372,-2.54358665488869,-2.16206381416013,replication,bayesian_fd
1,Main,consumption,-0.121012595413787,-0.120588190149617,-0.156083706903415,-0.0849064665075914,replication,bayesian_fd
1,Main,hours_worked,-0.44683926108615,-0.445821781261257,-0.496072195834605,-0.395373874714761,replication,bayesian_fd
1,Main,unemployment,0.248960934968939,0.250072861714885,0.229713243051839,0.266568381099741,replication,bayesian_fd
1,Main,labor_share,0.363880206819653,0.362869871151161,0.276519442945834,0.455914572335108,replication,bayesian_fd
1,Main,interest,-0.0642820015856024,-0.0647802928337647,-0.0881012787804128,-0.0406012163399052,replication,bayesian_fd
1,Main,inflation,0.0164940582070987,0.0161513147132518,-0.00893915327242213,0.0429059503680661,replication,bayesian_fd
1,Main,productivity,-0.37508592589004,-0.374271277777111,-0.441073895571008,-0.312140398569586,replication,bayesian_fd
1,Main,TFP,0.0670166354871758,0.068094146200237,-0.00135974012867722,0.138548240591893,replication,bayesian_fd
2,Main,output,-0.663155924145869,-0.661065624798839,-0.732253778143956,-0.597463164304443,replication,bayesian_fd
2,Main,investment,-2.39460901072297,-2.3974069805222,-2.63413240672367,-2.16093924833522,replication,bayesian_fd
2,Main,consumption,-0.176448023990076,-0.176575127246374,-0.216127035118038,-0.135765856123546,replication,bayesian_fd
2,Main,hours_worked,-0.475698827327128,-0.473870718222947,-0.525636253757303,-0.426664233503486,replication,bayesian_fd
2,Main,unemployment,0.326108323937256,0.326314841240248,0.307638939628093,0.343724502622659,replication,bayesian_fd
2,Main,labor_share,0.210145689216609,0.206606140877937,0.139064729699948,0.282095717862461,replication,bayesian_fd
2,Main,interest,-0.0855165141099104,-0.0860855305239419,-0.107962689978007,-0.062833074154411,replication,bayesian_fd
2,Main,inflation,-0.00299457707708348,-0.00363603384897497,-0.0203408593391904,0.0159935289138486,replication,bayesian_fd
