variable,weight,target,sign,period_l,period_h
output,0.309137042839783,unemployment,neg,4,10
investment,1.06431820610846,unemployment,neg,4,10
consumption,0.200844997605488,unemployment,neg,4,10
hours_worked,0.365154153570879,unemployment,neg,4,10
unemployment,-0.187636698958499,unemployment,neg,4,10
labor_share,0.000486904973050887,unemployment,neg,4,10
interest,0.0823355770857735,unemployment,neg,4,10
inflation,-0.00841821890560754,unemployment,neg,4,10
productivity,0.0347482758929956,unemployment,neg,4,10
TFP,-0.197415836550946,unemployment,neg,4,10
vfci,0.0191558531080701,unemployment,neg,4,10
output,0.0216726104440024,vfci,neg,4,10
investment,-0.0460454874179497,vfci,neg,4,10
consumption,0.00373035965055266,vfci,neg,4,10
hours_worked,-0.0814611214210047,vfci,neg,4,10
unemployment,0.0174884690082402,vfci,neg,4,10
labor_share,-0.042978976267172,vfci,neg,4,10
interest,-0.119003057031506,vfci,neg,4,10
inflation,-0.0221525604373226,vfci,neg,4,10
productivity,0.0627739088859416,vfci,neg,4,10
TFP,0.216248417282087,vfci,neg,4,10
vfci,-0.197624229797434,vfci,neg,4,10
output,-0.309137042839783,unemployment,pos,4,10
investment,-1.06431820610846,unemployment,pos,4,10
consumption,-0.200844997605488,unemployment,pos,4,10
hours_worked,-0.365154153570879,unemployment,pos,4,10
unemployment,0.187636698958499,unemployment,pos,4,10
labor_share,-0.000486904973050887,unemployment,pos,4,10
interest,-0.0823355770857735,unemployment,pos,4,10
inflation,0.00841821890560754,unemployment,pos,4,10
productivity,-0.0347482758929956,unemployment,pos,4,10
TFP,0.197415836550946,unemployment,pos,4,10
vfci,-0.0191558531080701,unemployment,pos,4,10
output,-0.0216726104440024,vfci,pos,4,10
investment,0.0460454874179497,vfci,pos,4,10
consumption,-0.00373035965055266,vfci,pos,4,10
hours_worked,0.0814611214210047,vfci,pos,4,10
unemployment,-0.0174884690082402,vfci,pos,4,10
labor_share,0.042978976267172,vfci,pos,4,10
interest,0.119003057031506,vfci,pos,4,10
inflation,0.0221525604373226,vfci,pos,4,10
productivity,-0.0627739088859416,vfci,pos,4,10
TFP,-0.216248417282087,vfci,pos,4,10
vfci,0.197624229797434,vfci,pos,4,10
output,0.322751417054175,unemployment,neg,4,12
investment,1.07819615734003,unemployment,neg,4,12
consumption,0.209626113092475,unemployment,neg,4,12
hours_worked,0.371532712606354,unemployment,neg,4,12
unemployment,-0.186050790361257,unemployment,neg,4,12
labor_share,-0.0109250200753737,unemployment,neg,4,12
interest,0.0839163073628435,unemployment,neg,4,12
inflation,-0.0118562198813167,unemployment,neg,4,12
productivity,0.0488509561066726,unemployment,neg,4,12
TFP,-0.193325189589653,unemployment,neg,4,12
vfci,0.0224701725995034,unemployment,neg,4,12
