identification,variable,weight
hr_macro,output,-0.710815308421622
hr_macro,investment,-0.109635826065266
hr_macro,consumption,0.51508823768346
hr_macro,hours_worked,0.00219562541098381
hr_macro,unemployment,-1.20446949845207
hr_macro,labor_share,-0.543616702475902
hr_macro,interest,3.33310115408253
hr_macro,inflation,0.383952729207171
hr_macro,productivity,-0.000288146799895317
hr_macro,TFP,0.394503116997895
hr_fin,output,-0.13122800840274
hr_fin,investment,0.260657138993929
hr_fin,consumption,0.849601044828838
hr_fin,hours_worked,0.19269609564382
hr_fin,unemployment,1.33592742377823
hr_fin,labor_share,-0.136697600608283
hr_fin,interest,-4.5859096373868
hr_fin,inflation,-0.064370490203978
hr_fin,productivity,-0.750137490505808
hr_fin,TFP,0.510925689957598
