identification,h,response,irf
fevdfd,1,output,0.196143225438435
fevdfd,1,investment,0.551094027251292
fevdfd,1,consumption,0.156437088995482
fevdfd,1,hours_worked,0.268650469521477
fevdfd,1,unemployment,-0.0929618748617813
fevdfd,1,labor_share,-0.0139011109435883
fevdfd,1,interest,0.159793101310584
fevdfd,1,inflation,0.017776808028805
fevdfd,1,productivity,0.0337725334608648
fevdfd,1,TFP,-0.221798798823654
fevdfd,1,vfci,0.127017951383728
fevdfd,2,output,0.275385052306493
fevdfd,2,investment,1.08882538114514
fevdfd,2,consumption,0.136254832992393
fevdfd,2,hours_worked,0.333380899300765
fevdfd,2,unemployment,-0.155345695012963
fevdfd,2,labor_share,0.0075089276532253
fevdfd,2,interest,0.200371380422361
fevdfd,2,inflation,0.0545405506722238
fevdfd,2,productivity,-0.0320542710406566
fevdfd,2,TFP,-0.274033805570926
fevdfd,2,vfci,0.150365348200912
fevdfd,3,output,0.158727888396923
fevdfd,3,investment,0.721289670069481
fevdfd,3,consumption,0.0962898259131573
fevdfd,3,hours_worked,0.280136723040093
fevdfd,3,unemployment,-0.145654547635016
fevdfd,3,labor_share,0.0855288685953913
fevdfd,3,interest,0.178320165801721
fevdfd,3,inflation,0.065279512376327
fevdfd,3,productivity,-0.186278945842163
fevdfd,3,TFP,-0.351993015697109
fevdfd,3,vfci,0.121758455539378
fevdfd,4,output,0.014746100260498
fevdfd,4,investment,0.145585710318136
fevdfd,4,consumption,0.0489084944997018
fevdfd,4,hours_worked,0.164030806665167
fevdfd,4,unemployment,-0.100304357856741
fevdfd,4,labor_share,0.136083648276529
fevdfd,4,interest,0.153586752044546
fevdfd,4,inflation,0.0576798339392572
fevdfd,4,productivity,-0.272773221484205
fevdfd,4,TFP,-0.340130553912491
fevdfd,4,vfci,0.0916291599055541
fevdfd,5,output,-0.122512902482512
fevdfd,5,investment,-0.411816110247384
fevdfd,5,consumption,-0.00980385968946747
fevdfd,5,hours_worked,0.0274008655200234
fevdfd,5,unemployment,-0.0373960974855032
fevdfd,5,labor_share,0.145487797259452
fevdfd,5,interest,0.130079197317356
fevdfd,5,inflation,0.0424340986443163
fevdfd,5,productivity,-0.310971842415043
fevdfd,5,TFP,-0.297117612931333
fevdfd,5,vfci,0.0636999060388031
fevdfd,6,output,-0.247909667680866
fevdfd,6,investment,-0.908097330505459
fevdfd,6,consumption,-0.0725352963099964
fevdfd,6,hours_worked,-0.104370474560453
