identification,date,response,hd,total
fevdfd_vfci_f12,1962-07-01,output,0.137903039242081,-0.222656048226781
fevdfd_vfci_f12,1962-07-01,investment,0.409068770628821,-1.98776398502378
fevdfd_vfci_f12,1962-07-01,consumption,0.109123674977814,0.252338693747561
fevdfd_vfci_f12,1962-07-01,hours_worked,0.182777922730414,0.226306519344007
fevdfd_vfci_f12,1962-07-01,unemployment,-0.0733380179228721,-0.123307300757219
fevdfd_vfci_f12,1962-07-01,labor_share,-0.0311450309793951,0.313385300740208
fevdfd_vfci_f12,1962-07-01,interest,0.0828686857352668,0.0820645768197051
fevdfd_vfci_f12,1962-07-01,inflation,0.0174707743863531,0.0433926133267854
fevdfd_vfci_f12,1962-07-01,productivity,0.00287984728079541,-0.036690150888319
fevdfd_vfci_f12,1962-07-01,TFP,-0.133398571202459,0.0125058236202234
fevdfd_vfci_f12,1962-07-01,vfci,0.0627858089811957,0.0213038641193195
fevdfd_vfci_f1,1962-07-01,output,-0.0295855361128409,0.221337720242332
fevdfd_vfci_f1,1962-07-01,investment,-0.0837495799444942,-0.46256421814951
fevdfd_vfci_f1,1962-07-01,consumption,-0.00617297540668271,0.559309961053714
fevdfd_vfci_f1,1962-07-01,hours_worked,0.000386554540432353,0.657007919091939
fevdfd_vfci_f1,1962-07-01,unemployment,-0.00442802703702608,-0.37949583070516
fevdfd_vfci_f1,1962-07-01,labor_share,0.0305211944694543,0.227608969542644
fevdfd_vfci_f1,1962-07-01,interest,0.0144594238646986,0.128050712962798
fevdfd_vfci_f1,1962-07-01,inflation,0.00156554137709671,0.0964017868917693
fevdfd_vfci_f1,1962-07-01,productivity,-0.0383836852398248,0.0329411097653745
fevdfd_vfci_f1,1962-07-01,TFP,-0.0314853187877621,-0.0270832812059256
fevdfd_vfci_f1,1962-07-01,vfci,0.0386960636635405,-0.0459534320984418
fevdfd_unem,1962-07-01,output,0.0239756401318306,-0.500630534323023
fevdfd_unem,1962-07-01,investment,0.055711961287192,-2.19291339067263
fevdfd_unem,1962-07-01,consumption,0.0213054954851871,-0.121478165436429
fevdfd_unem,1962-07-01,hours_worked,0.0278229105856173,-0.0406822925260713
fevdfd_unem,1962-07-01,unemployment,-0.0160746046041134,0.1511519207787
fevdfd_unem,1962-07-01,labor_share,-0.00908244924614136,0.482540200414121
fevdfd_unem,1962-07-01,interest,0.00226374321795102,0.0526959813316521
fevdfd_unem,1962-07-01,inflation,0.00260446754216492,-0.0109655413639332
