identification,variable,weight
hr_macro,output,0.325593159223497
hr_macro,investment,0.212107079491207
hr_macro,consumption,0.350594941849822
hr_macro,hours_worked,0.393346038276334
hr_macro,unemployment,0.245419555077584
hr_macro,labor_share,-0.143555809718593
hr_macro,interest,-0.0295233471266242
hr_macro,inflation,0.414014276741977
hr_macro,productivity,0.556212214831407
hr_macro,TFP,-0.094187348409251
hr_fin,output,0.624032601838428
hr_fin,investment,0.210906127959524
hr_fin,consumption,0.271623659443152
hr_fin,hours_worked,0.0581666306296617
hr_fin,unemployment,0.124930223692967
hr_fin,labor_share,0.23987861326423
hr_fin,interest,0.466185758784515
hr_fin,inflation,0.340499604165722
hr_fin,productivity,-0.275931600492747
hr_fin,TFP,0.0798902219877078
