identification,date,response,hd,total
chol_vfci_f12,1962-07-01,vfci,-0.0151267717638705,-0.0151267717638705
chol_vfci_f12,1962-07-01,unemployment,0.00928849294299361,-0.0314191541278167
chol_vfci_f12,1962-07-01,investment,-0.0460926739759907,-0.851506318256996
chol_vfci_f12,1962-07-01,hours_worked,-0.0136128585265734,0.242200025230001
chol_vfci_f12,1962-07-01,labor_share,-0.00840856405462917,-0.735230741323392
chol_vfci_f12,1962-07-01,inflation,-0.00273580585731293,-0.136209738124934
chol_vfci_f12,1962-07-01,TFP,0.0146262884305056,0.343317246754584
chol_vfci_f12,1962-07-01,output,-0.0098372003603051,0.126007932049151
chol_vfci_f12,1962-07-01,productivity,0.00661813001264163,0.477474839703848
chol_vfci_f12,1962-07-01,interest,-0.0151622030965363,0.0467776764920785
chol_vfci_f12,1962-07-01,consumption,-0.00410818829625958,0.0653453443084374
chol_vfci_f12,1962-10-01,unemployment,-0.0292909902502529,0.233890870358468
chol_vfci_f12,1962-10-01,investment,0.145125963224417,-2.80289788041526
chol_vfci_f12,1962-10-01,productivity,-0.0164345676748878,0.102850144242356
chol_vfci_f12,1962-10-01,labor_share,0.012132574242072,-0.00231356665984723
chol_vfci_f12,1962-10-01,vfci,0.0367792147670169,0.0512857875734601
chol_vfci_f12,1962-10-01,hours_worked,0.049874840703662,-1.58493350556669
chol_vfci_f12,1962-10-01,TFP,-0.0471420497164581,0.886031226878093
chol_vfci_f12,1962-10-01,consumption,0.031037888392979,-0.624984551037544
chol_vfci_f12,1962-10-01,inflation,0.00503881911222165,-0.387353140912193
chol_vfci_f12,1962-10-01,interest,0.0345105258774512,0.0308804383632241
chol_vfci_f12,1962-10-01,output,0.0402373262779925,-1.21005201047016
chol_vfci_f12,1963-01-01,unemployment,-0.0781066700508075,0.723064906808532
chol_vfci_f12,1963-01-01,productivity,-0.068750500360304,-0.406915495579215
chol_vfci_f12,1963-01-01,hours_worked,0.102161777892272,0.132064838661054
chol_vfci_f12,1963-01-01,labor_share,0.109784741550383,0.253271952834071
chol_vfci_f12,1963-01-01,investment,0.443344906094768,2.10355905109427
chol_vfci_f12,1963-01-01,vfci,0.164255079120671,0.0221672840782884
chol_vfci_f12,1963-01-01,TFP,-0.131335326638837,-0.733282653719441
chol_vfci_f12,1963-01-01,consumption,-0.0318251257413025,-0.851203674543977
chol_vfci_f12,1963-01-01,inflation,0.030639916328663,-0.286713392821969
chol_vfci_f12,1963-01-01,interest,0.16972035436384,0.0438840443584863
chol_vfci_f12,1963-01-01,output,0.0579686214880118,-0.0752554571917071
chol_vfci_f12,1963-04-01,unemployment,-0.0431893515637118,0.651494972042366
chol_vfci_f12,1963-04-01,labor_share,0.169957511559279,0.348601349692317
chol_vfci_f12,1963-04-01,consumption,-0.111821412145633,-0.179438588412244
chol_vfci_f12,1963-04-01,vfci,0.160187807121854,-0.0351162715683635
chol_vfci_f12,1963-04-01,inflation,0.0531325313344743,-0.657892798174957
chol_vfci_f12,1963-04-01,hours_worked,-0.0190361251238822,0.167488006578865
chol_vfci_f12,1963-04-01,investment,0.10114326148821,0.645256411715324
chol_vfci_f12,1963-04-01,productivity,-0.0712411475610918,0.0604618051411798
chol_vfci_f12,1963-04-01,TFP,-0.0309555289246754,-0.340797560990644
chol_vfci_f12,1963-04-01,output,-0.0386136351931178,0.0537893640039961
