h,impulse,response,irf
1,Main,output,-0.299359932960554
1,Main,investment,-0.854870328004918
1,Main,consumption,-0.158593729003345
1,Main,hours_worked,-0.0493464577016478
1,Main,unemployment,0.0896737382062638
1,Main,labor_share,0.365186278993321
1,Main,interest,0.100941210531648
1,Main,inflation,0.0353546679604696
1,Main,productivity,-0.229920043752694
1,Main,TFP,-0.314398913349981
1,Main,vfci,0.224346629754148
2,Main,output,-0.436499193192097
2,Main,investment,-1.42674840813654
2,Main,consumption,-0.31965722184143
2,Main,hours_worked,-0.259949074027362
2,Main,unemployment,0.175594037717751
2,Main,labor_share,0.197898262732728
2,Main,interest,0.0717955808257399
2,Main,inflation,0.00844219313530164
2,Main,productivity,-0.207130742933895
2,Main,TFP,-0.17502942821389
2,Main,vfci,0.158732139832977
3,Main,output,-0.626274126643643
3,Main,investment,-2.28238582043388
3,Main,consumption,-0.38659982527138
3,Main,hours_worked,-0.460451700195348
3,Main,unemployment,0.27610982250592
3,Main,labor_share,0.200723233217015
3,Main,interest,0.0340405763798927
3,Main,inflation,0.0195062934041222
3,Main,productivity,-0.193061978093886
3,Main,TFP,-0.0766683148889486
3,Main,vfci,0.0903497259336161
4,Main,output,-0.724449869277519
4,Main,investment,-2.67848270942565
4,Main,consumption,-0.430859718144888
4,Main,hours_worked,-0.599394959491835
4,Main,unemployment,0.35012657378107
4,Main,labor_share,0.143243743574096
4,Main,interest,0.00832209279644589
4,Main,inflation,0.0215563919463007
4,Main,productivity,-0.127360616188416
4,Main,TFP,-0.0176759342200737
4,Main,vfci,0.0487854860444887
5,Main,output,-0.781235508297369
5,Main,investment,-2.81699973828512
5,Main,consumption,-0.467563532231218
5,Main,hours_worked,-0.675581518250302
5,Main,unemployment,0.399899542971629
5,Main,labor_share,0.0630855980997378
5,Main,interest,-0.0105712616760568
5,Main,inflation,0.0182469131725529
5,Main,productivity,-0.0718419353280236
5,Main,TFP,-0.000694358736763419
5,Main,vfci,0.0184864659608449
6,Main,output,-0.805857984237553
6,Main,investment,-2.78159980726816
6,Main,consumption,-0.496833432387083
6,Main,hours_worked,-0.706496580829621
6,Main,unemployment,0.427829254613674
6,Main,labor_share,-0.0216608518142563
6,Main,interest,-0.0239843800909444
6,Main,inflation,0.0142486911424506
6,Main,productivity,-0.0263306896775166
6,Main,TFP,-0.00565428127949528
6,Main,vfci,-0.00282185228664595
7,Main,output,-0.804783261149127
7,Main,investment,-2.62557266365951
7,Main,consumption,-0.518138931670455
7,Main,hours_worked,-0.703628144209363
7,Main,unemployment,0.437797932737185
7,Main,labor_share,-0.103542973115753
7,Main,interest,-0.0330973233663021
7,Main,inflation,0.00971015467135127
7,Main,productivity,0.00810772847804056
7,Main,TFP,-0.0247855186137495
7,Main,vfci,-0.0179040603671576
8,Main,output,-0.784175819700681
8,Main,investment,-2.39336724202024
8,Main,consumption,-0.530929797057525
8,Main,hours_worked,-0.675298403901687
8,Main,unemployment,0.432912963096669
8,Main,labor_share,-0.176822446454108
8,Main,interest,-0.0382257626404031
8,Main,inflation,0.00527701126324867
8,Main,productivity,0.0318129571113266
8,Main,TFP,-0.0506997682118522
8,Main,vfci,-0.0282643574883226
9,Main,output,-0.748838270131433
9,Main,investment,-2.11503835704979
9,Main,consumption,-0.535747428517866
9,Main,hours_worked,-0.628600856451369
9,Main,unemployment,0.416027511065939
9,Main,labor_share,-0.238088119386548
9,Main,interest,-0.0397216745635929
9,Main,inflation,0.00149145006076592
9,Main,productivity,0.0451417352407591
9,Main,TFP,-0.0792274007357748
9,Main,vfci,-0.0347979175920895
10,Main,output,-0.703338114537577
10,Main,investment,-1.81503318088784
10,Main,consumption,-0.533660299618049
10,Main,hours_worked,-0.56935816174548
10,Main,unemployment,0.389892603497838
10,Main,labor_share,-0.285767656072747
10,Main,interest,-0.0382014492796807
10,Main,inflation,-0.00143358520281712
10,Main,productivity,0.0485602921979776
10,Main,TFP,-0.107868542456143
10,Main,vfci,-0.0383038550831581
11,Main,output,-0.651751229780772
11,Main,investment,-1.51275768334982
11,Main,consumption,-0.525922132963058
11,Main,hours_worked,-0.502646932546688
11,Main,unemployment,0.357115342514624
11,Main,labor_share,-0.319405672755951
11,Main,interest,-0.0342970974054243
11,Main,inflation,-0.0034657970071808
11,Main,productivity,0.0429010111392958
11,Main,TFP,-0.134922219938717
11,Main,vfci,-0.0394186565110707
12,Main,output,-0.597568508928397
12,Main,investment,-1.22302169122311
12,Main,consumption,-0.513877767238516
12,Main,hours_worked,-0.432730977497134
12,Main,unemployment,0.320097960512656
12,Main,labor_share,-0.339493593274133
12,Main,interest,-0.0286395045536133
12,Main,inflation,-0.00466515322447922
12,Main,productivity,0.0292690942201054
12,Main,TFP,-0.159316935579901
12,Main,vfci,-0.0386831757005845
13,Main,output,-0.543697664381048
13,Main,investment,-0.956709829464862
13,Main,consumption,-0.498850381995536
13,Main,hours_worked,-0.363109793217763
13,Main,unemployment,0.280975576615373
13,Main,labor_share,-0.347130507254694
13,Main,interest,-0.0218336461745823
13,Main,inflation,-0.00515878541738874
13,Main,productivity,0.00895163263958301
13,Main,TFP,-0.180453777292628
13,Main,vfci,-0.0365694226347339
14,Main,output,-0.492428879531712
14,Main,investment,-0.721182723672374
14,Main,consumption,-0.482057347472291
14,Main,hours_worked,-0.296535195576058
14,Main,unemployment,0.241573382218019
14,Main,labor_share,-0.34383490737581
14,Main,interest,-0.0144302231209878
14,Main,inflation,-0.00510140561635663
14,Main,productivity,-0.0166474973540925
14,Main,TFP,-0.198065174882206
14,Main,vfci,-0.033492653061366
15,Main,output,-0.445454256314719
15,Main,investment,-0.520730333448652
15,Main,consumption,-0.464557995060877
15,Main,hours_worked,-0.235050337265663
15,Main,unemployment,0.203382315409189
15,Main,labor_share,-0.331360949129688
15,Main,interest,-0.00690876663452794
15,Main,inflation,-0.00465319640998555
15,Main,productivity,-0.0460937771798678
15,Main,TFP,-0.212137497879931
15,Main,vfci,-0.0298131446697894
16,Main,output,-0.403906438306123
16,Main,investment,-0.357032082696921
16,Main,consumption,-0.44722488946931
16,Main,hours_worked,-0.180043853378647
16,Main,unemployment,0.167554419201059
16,Main,labor_share,-0.311560059917616
16,Main,interest,0.00033320792884529
16,Main,inflation,-0.00396441340702564
16,Main,productivity,-0.0779935529435887
16,Main,TFP,-0.222840043059437
16,Main,vfci,-0.0258358846366324
17,Main,output,-0.368419088350297
17,Main,investment,-0.22963519660859
17,Main,consumption,-0.430734469356088
17,Main,hours_worked,-0.132322346764999
17,Main,unemployment,0.134915425142226
17,Main,labor_share,-0.286269206269758
17,Main,interest,0.00698463755764821
17,Main,inflation,-0.00316632045786702
17,Main,productivity,-0.111053942496405
17,Main,TFP,-0.230468782289188
17,Main,vfci,-0.0218102751644435
18,Main,output,-0.33919941400545
18,Main,investment,-0.136429672670867
18,Main,consumption,-0.415571987615057
18,Main,hours_worked,-0.0921941937377177
18,Main,unemployment,0.105990890096617
18,Main,labor_share,-0.257226399989566
18,Main,interest,0.0128200520265098
18,Main,inflation,-0.0023664319267746
18,Main,productivity,-0.14412649781117
18,Main,TFP,-0.235397958723257
18,Main,vfci,-0.0179314556039141
19,Main,output,-0.316106937514427
19,Main,investment,-0.0741018728130022
19,Main,consumption,-0.40204654505517
19,Main,hours_worked,-0.0595596302306687
19,Main,unemployment,0.0810418381195031
19,Main,labor_share,-0.226009548288956
19,Main,interest,0.0176945138508132
19,Main,inflation,-0.00164695147023347
19,Main,productivity,-0.176235280405792
19,Main,TFP,-0.238040197087974
19,Main,vfci,-0.0143434082075016
20,Main,output,-0.298732856328157
20,Main,investment,-0.0385499027514941
20,Main,consumption,-0.390312642523744
20,Main,hours_worked,-0.0340013619387066
20,Main,unemployment,0.0601060902103868
20,Main,labor_share,-0.193996119681289
20,Main,interest,0.0215354761187393
20,Main,inflation,-0.00106537423023794
20,Main,productivity,-0.206590691181075
20,Main,TFP,-0.238814485262644
20,Main,vfci,-0.0111436396402481
21,Main,output,-0.2864758811352
21,Main,investment,-0.0252489979511815
21,Main,consumption,-0.380395361427819
21,Main,hours_worked,-0.0148712682014895
21,Main,unemployment,0.0430419415350765
21,Main,labor_share,-0.162340681211037
21,Main,interest,0.0243326051360786
21,Main,inflation,-0.000656536021115992
21,Main,productivity,-0.234591329239854
21,Main,TFP,-0.238121879590749
21,Main,vfci,-0.00838897049327285
22,Main,output,-0.278611502843777
22,Main,investment,-0.0295597928547698
22,Main,consumption,-0.372216883692772
22,Main,hours_worked,-0.0013697706347961
22,Main,unemployment,0.0295714705982202
22,Main,labor_share,-0.131967444604635
22,Main,interest,0.0261265073397002
22,Main,inflation,-0.000435547422424855
22,Main,productivity,-0.259816347790287
22,Main,TFP,-0.236328314091337
22,Main,vfci,-0.00610194944718436
23,Main,output,-0.274352710361172
23,Main,investment,-0.0469767593882642
23,Main,consumption,-0.365622605418339
23,Main,hours_worked,0.0073844069576683
23,Main,unemployment,0.01932139587314
23,Main,labor_share,-0.103574944598037
23,Main,interest,0.0269971585952098
23,Main,inflation,-0.000401194255942062
23,Main,productivity,-0.282010760304923
23,Main,TFP,-0.233753711569052
23,Main,vfci,-0.00427745159922929
24,Main,output,-0.272901043963313
24,Main,investment,-0.0733176355285142
24,Main,consumption,-0.360405567447704
24,Main,hours_worked,0.0122953871589882
24,Main,unemployment,0.0118599937281333
24,Main,labor_share,-0.077650082908118
24,Main,interest,0.027052680371601
24,Main,inflation,-0.000539489070037071
24,Main,productivity,-0.3010659464476
24,Main,TFP,-0.230666412807423
24,Main,vfci,-0.00288910675205406
25,Main,output,-0.273487588970446
25,Main,investment,-0.104857379885581
25,Main,consumption,-0.356328326860676
25,Main,hours_worked,0.0142426673119109
25,Main,unemployment,0.00672912171165849
25,Main,labor_share,-0.0544889455353272
25,Main,interest,0.0264189523386962
25,Main,inflation,-0.000827141576088479
25,Main,productivity,-0.316997328179806
25,Main,TFP,-0.227281887397638
25,Main,vfci,-0.0018952932222032
26,Main,output,-0.275404078388379
26,Main,investment,-0.13841208864215
26,Main,consumption,-0.353141729457879
26,Main,hours_worked,0.0140448473561002
26,Main,unemployment,0.00347084345768474
26,Main,labor_share,-0.0342220430538589
26,Main,interest,0.0252304047496639
26,Main,inflation,-0.00123478216491406
26,Main,productivity,-0.329920872432658
26,Main,TFP,-0.223764709617734
26,Main,vfci,-0.00124451622135962
27,Main,output,-0.278024701785129
27,Main,investment,-0.171379512024854
27,Main,consumption,-0.350600320137301
27,Main,hours_worked,0.0124338846011849
27,Main,unemployment,0.00164852224671694
27,Main,labor_share,-0.0168419128963522
27,Main,interest,0.0236222022572842
27,Main,inflation,-0.00172982671875048
27,Main,productivity,-0.340029760218116
27,Main,TFP,-0.220232863697387
27,Main,vfci,-0.000880061083553679
28,Main,output,-0.280819523605187
28,Main,investment,-0.201743419633886
28,Main,consumption,-0.348474350396564
28,Main,hours_worked,0.0100388554623788
28,Main,unemployment,0.000862542609048787
28,Main,labor_share,-0.00223134095260336
28,Main,interest,0.021723917340178
28,Main,inflation,-0.00227891526309039
28,Main,productivity,-0.347572259378598
28,Main,TFP,-0.216763557083599
28,Main,vfci,-0.000743869884458864
29,Main,output,-0.283360613171401
29,Main,investment,-0.228049202048287
29,Main,consumption,-0.346558514904816
29,Main,hours_worked,0.00737798141326479
29,Main,unemployment,0.00076103884311577
29,Main,labor_share,0.00980921054054336
29,Main,interest,0.0196546978910415
29,Main,inflation,-0.0028498931611154
29,Main,productivity,-0.352831559194717
29,Main,TFP,-0.213399850728687
29,Main,vfci,-0.000779636093151738
30,Main,output,-0.285322095854506
30,Main,investment,-0.249357864724824
30,Main,consumption,-0.344677676966817
30,Main,hours_worked,0.00485755893803595
30,Main,unemployment,0.00104616319080183
30,Main,labor_share,0.0195360567831329
30,Main,interest,0.0175198599275146
30,Main,inflation,-0.00341333255405817
30,Main,productivity,-0.356108075318528
30,Main,TFP,-0.210157548322514
30,Main,vfci,-0.000935147245923396
31,Main,output,-0.286475365374785
31,Main,investment,-0.265185063281511
31,Main,consumption,-0.34268993067535
31,Main,hours_worked,0.00277640226726505
31,Main,unemployment,0.00147652268944053
31,Main,labor_share,0.0272394062289021
31,Main,interest,0.015408781939444
31,Main,inflation,-0.00394361429828352
31,Main,productivity,-0.357704515971829
31,Main,TFP,-0.207031913230205
31,Main,vfci,-0.00116393168687152
32,Main,output,-0.286680665618167
32,Main,investment,-0.275431129443248
32,Main,consumption,-0.340487400687665
32,Main,hours_worked,0.0013344455581265
32,Main,unemployment,0.0018664608167965
32,Main,labor_share,0.0332236385946617
32,Main,interest,0.0133939404701567
32,Main,inflation,-0.00441960735573646
32,Main,productivity,-0.357913816426232
32,Main,TFP,-0.204003897486512
32,Main,vfci,-0.00142628349458386
33,Main,output,-0.28587617077557
33,Main,investment,-0.280307215871956
33,Main,consumption,-0.337995204058208
33,Main,hours_worked,0.000644241649729719
33,Main,unemployment,0.00208286642620694
33,Main,labor_share,0.0377909992936539
33,Main,interest,0.011530905069282
33,Main,inflation,-0.00482499405132818
33,Main,productivity,-0.357009898576939
33,Main,TFP,-0.201045668834581
33,Main,vfci,-0.00168975096327399
34,Main,output,-0.284065578242818
34,Main,investment,-0.280261806828317
34,Main,consumption,-0.335168997629013
34,Main,hours_worked,0.000744222753507499
34,Main,unemployment,0.00204016641408996
34,Main,labor_share,0.041228756950467
34,Main,interest,0.00985910242425919
34,Main,inflation,-0.00514829644490003
34,Main,productivity,-0.355241095015064
34,Main,TFP,-0.198125308403886
34,Main,vfci,-0.00192917946560625
35,Main,output,-0.281305091582619
35,Main,investment,-0.275910950853525
35,Main,consumption,-0.331991514234307
35,Main,hours_worked,0.00161274115751041
35,Main,unemployment,0.0016941079488716
35,Main,labor_share,0.0437997030285028
35,Main,interest,0.00840316186200975
35,Main,inflation,-0.00538266193766023
35,Main,productivity,-0.352825990567816
35,Main,TFP,-0.195210623168848
35,Main,vfci,-0.00212640015312561
36,Main,output,-0.277690521594503
36,Main,investment,-0.267974712242384
36,Main,consumption,-0.328468456291852
36,Main,hours_worked,0.0031820736347017
36,Main,unemployment,0.00103486820949979
36,Main,labor_share,0.0457357444335235
36,Main,interest,0.00717466513318537
36,Main,inflation,-0.00552546582801123
36,Main,productivity,-0.349951376230424
36,Main,TFP,-0.192272074440426
36,Main,vfci,-0.0022696526604691
37,Main,output,-0.273345081251
37,Main,investment,-0.257221541368617
37,Main,consumption,-0.324624070738244
37,Main,hours_worked,0.00535174191048403
37,Main,unemployment,7.99509843224026e-05
37,Main,labor_share,0.0472342490948888
37,Main,interest,0.00617414020217599
37,Main,inflation,-0.00557778553436809
37,Main,productivity,-0.346771977584743
37,Main,TFP,-0.189284867346764
37,Main,vfci,-0.00235282364391064
38,Main,output,-0.268408302381829
38,Main,investment,-0.244421552431581
38,Main,consumption,-0.320496678754899
38,Main,hours_worked,0.00800066522410716
38,Main,unemployment,-0.00113275413253597
38,Main,labor_share,0.0484567475718139
38,Main,interest,0.00539315961974156
38,Main,inflation,-0.00554379627404697
38,Main,productivity,-0.343411608607151
38,Main,TFP,-0.186230277833471
38,Main,vfci,-0.00237457443055492
39,Main,output,-0.263026364310365
39,Main,investment,-0.2303090853498
39,Main,consumption,-0.316134380814988
39,Main,hours_worked,0.0109978134563929
39,Main,unemployment,-0.00255145805862647
39,Main,labor_share,0.0495295664386673
39,Main,interest,0.00481642715071516
39,Main,inflation,-0.00543013174275576
39,Main,productivity,-0.339965408417215
39,Main,TFP,-0.183096314583746
39,Main,vfci,-0.00233742104947983
40,Main,output,-0.257344001362175
40,Main,investment,-0.215554423604417
40,Main,consumption,-0.311591105158248
40,Main,hours_worked,0.0142111659458909
40,Main,unemployment,-0.00411629241005061
40,Main,labor_share,0.0505459668337754
40,Main,interest,0.0044237601384675
40,Main,inflation,-0.0052452463303909
40,Main,productivity,-0.336502839180651
40,Main,TFP,-0.179877824923181
40,Main,vfci,-0.00224681915213295
