Time Series Search Export,Search term,Search filters,,Last update of Credit to the non-financial sector data,Downloaded at,Source,Source URL,Download URL,About Credit to the non-financial sector
,,,,2024-06-10,2024-07-31 15:42 CEST,BIS,"https:/data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.US.P.B.M.770.A?additional_ts=BIS%2CWS_TC%2C2.0%255EQ.US.P.A.M.770.A","https:/data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.US.P.B.M.770.A?additional_ts=BIS%2CWS_TC%2C2.0%255EQ.US.P.A.M.770.A&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/TOTAL_CREDIT

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,BORROWERS_CTY:Borrowers' country,TC_BORROWERS:Borrowing sector,TC_LENDERS:Lending sector,VALUATION:Valuation method,UNIT_TYPE:Unit type,TC_ADJUST:Adjustment,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1947-12-31,F:Free,,A:Normal value,47.1
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1948-03-31,F:Free,,A:Normal value,47.6
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1948-06-30,F:Free,,A:Normal value,47.9
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1948-09-30,F:Free,,A:Normal value,48.0
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1948-12-31,F:Free,,A:Normal value,48.6
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1949-03-31,F:Free,,A:Normal value,49.2
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1949-06-30,F:Free,,A:Normal value,50.2
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1949-09-30,F:Free,,A:Normal value,51.5
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1949-12-31,F:Free,,A:Normal value,52.9
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1950-03-31,F:Free,,A:Normal value,54.7
